userid,filled_atype2
004c1875a5f3a8ddfd2044b857a81c5d458882ac5cdf673d4e1840ca1ae476fa,Unknown
005b6c0f7e3371b1cacced2890fead3d5543694ab213727242ccc0184f67d29d,Fearmonger
005c20d3604f7b90f0d5b22f60226d60cfd9c7bdf5c728122e78906a7c187b96,LeftTroll
00b6194ca3359e2f37000037e20223ee91cfffcf15c7b929d5d37226a2465416,NonEnglish
00bd49f19d4096b1f47e6e7702dddd746cf7021795f2349f42b64003dcb48638,Fearmonger
00bf159b7380421c64abf4edcb220d10626cbd29dad0b848bf7ca5aff4c06b46,NonEnglish
00e1726daf96a4451c536ef5c891263b8e306d32ddf8c396bb732a3cb141d284,NonEnglish
00e60b6efcc4135bb73e81ba1e385786894899da0a9633120c538e24e290f8a0,Fearmonger
0105e08292e57e3bc201e097ac85752a7a1e17e6d2c1886c2233df0d6b683eaa,NonEnglish
010659f988d882af388da498e705d5d49d1540211f9955edf6f6987c5cb49268,Fearmonger
010de99355dc8d0b6987270bace242b49d272ad7a94abf0dbbcd456f9e6877b3,NonEnglish
011d362295d5044009ce60de6c9ff2c329c1f035500fdf110edede0b1b65c318,NonEnglish
01282610b6e5c5e9393cf2e91b50ee53e911c76c7e7a26aab4eb766e31db0225,NonEnglish
014566537ca2ddd1103f757f81a7561cd445bd114c575d058d2921b028a69bb1,RightTroll
01523cbff356354498112e37728a47eabc91516d9405864bade865e5cd198b07,Fearmonger
0164c1125a1215e0d8626d542370dd14b792d3431cd23168e0d3bddd29c96f72,NonEnglish
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,NonEnglish
01929ef585cdbf4ea15cff4efea757c4c984afd55fb486a52c971212d17926bd,Fearmonger
01ac74154dcdbedea7b6dd1aa33c1f78f32667c665283139603f2a8657ca9cc1,NonEnglish
01f043dc6d0cb21824ccb8d326b296451c94beefd1d0efeef49806be21b23acd,Fearmonger
01f61adcd3ba3d76e2684c9ce3a651b80e2767e6f9d6897b2ab752c8b1e30321,LeftTroll
020234c2ed714e42d237538a68f278ed45d82c94a2a22e9525adcae56cc63dc6,LeftTroll
0228dd2929088e949a422b87400a372e9bb52c0334bcfcc05eeef0668170f8e7,Fearmonger
024c16a668e177e623f072aa23dd8d51b07fedef9133ab54b3392f60a380f7a1,RightTroll
0287e12b16bdae571c259fb766e3c924523ef122d56960a58779bcde11894291,NonEnglish
02b81295dbf8951d10c2539c036e072a4cab40b516b0869e92f959f5fea9e233,LeftTroll
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,NonEnglish
02e3e757a26b130db7ce493da680356a1bf4a46a2fb2442abe636a348a87da84,Fearmonger
02f93fe30e3ec9208085258b14dd2c5d4054b3282b99b0e53d11130a6145ff7a,RightTroll
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,LeftTroll
03003635a630551697f15e03e2706fd19ca5e7d12632543548b009e1755af215,Fearmonger
0308de7b4cc80010ebf82668470541b0ab18f2c2fe3a80527c5e0ffe12a656e5,NonEnglish
0314a1a7baac794f823385569df333d380176f52399d19647b29ed8f14f0c8b8,NonEnglish
0317d779477f9c55dacd1c0326f63f2f84076c68db422b76bf2ec5407c43302d,Fearmonger
034c8152049f1c7c70dc6b28ac2864632149c173484ac1ea782ed992c05b4e4a,Fearmonger
035235403bfbbffdf18507847eed7d692c48a4196be9b39c961f05111bbbbf20,NonEnglish
0354cfbcf249d52f65722b6bcef9b1e7236c8e8510ab82a6ea5c146a8aa21e9c,NonEnglish
036f00c07c156312746b8cb3fe285aec2ccf360227f6a59bf8199238a6f0010c,LeftTroll
0377659a02850fbaf3e10247c675933294eac97b68eff6cc7edb2c695d5fa661,NonEnglish
037a0dd43e80d2bcb92e6593dbdd093a53752a29ada16533097daa1b436c0ee0,NonEnglish
037d9f106fbe60861dce2417e8faa0c4b6eb9d8e76b6e4f31dee8902ec7c5197,LeftTroll
037f351a4dd5fcc1c46144caca0fb7b6c63806f3c97372650d45f159c5a7c13a,RightTroll
0398d39ed96922fd179e79a3188a9f9707a3781f5e9fe35783452b0822ae1e73,RightTroll
03a9d7c823d499979ebf80b7aeb216ed64eb9034a146f917a07aea80abab7b13,Newsfeed
